,price_usd_close
price_drawdown_relative,1
block_count,0
block_interval_mean,0
block_interval_median,0
block_size_mean,0
block_size_sum,0
utxo_created_count,0
utxo_spent_count,0
utxo_created_value_sum,0
utxo_spent_value_sum,0
utxo_created_value_mean,0
utxo_spent_value_mean,0
utxo_created_value_median,1
utxo_spent_value_median,1
address_count,1
sending_count,0
receiving_count,0
active_count,1
new_non_zero_count,0
volume_sum,1
volume_mean,1
volume_median,1
difficulty_latest,1
hash_rate_mean,1
active_more_1y_percent,1
count,0
rate,0
size_mean,0
transfers_volume_sum,0
transfers_volume_mean,0
transfers_volume_median,1
CL=F,1
CPI,1
DXYN,1
GC=F,1
SI=F,1
^DJI,1
^IXIC,1
^RUT,1
^TNX,1
EURUSD=X,1
GBPUSD=X,1
^FTSE,1
N225,1
ADA-USD,1
AVAX-USD,1
BNB-USD,1
BTC-USD,1
DOGE-USD,1
DOT-USD,1
ETH-USD,1
LTC-USD,1
MATIC-USD,1
SHIB-USD,1
SOL-USD,1
TRX-USD,1
USDC-USD,1
USDT-USD,1
XRP-USD,1
